num_params,threshold,keep_first_last,dataset,Size (bytes)
1498,0.01,True,FEMNIST,11984
1373,0.01,True,FEMNIST,10984
1494,0.01,True,FEMNIST,11952
1326,0.01,True,FEMNIST,10608
1432,0.01,True,FEMNIST,11456
1356,0.01,True,FEMNIST,10848
1425,0.01,True,FEMNIST,11400
1462,0.01,True,FEMNIST,11696
1326,0.01,True,FEMNIST,10608
1375,0.01,True,FEMNIST,11000
1367,0.01,True,FEMNIST,10936
1437,0.01,True,FEMNIST,11496
1435,0.01,True,FEMNIST,11480
1441,0.01,True,FEMNIST,11528
1409,0.01,True,FEMNIST,11272
1349,0.01,True,FEMNIST,10792
1299,0.01,True,FEMNIST,10392
1380,0.01,True,FEMNIST,11040
1413,0.01,True,FEMNIST,11304
1372,0.01,True,FEMNIST,10976
1364,0.01,True,FEMNIST,10912
1359,0.01,True,FEMNIST,10872
1406,0.01,True,FEMNIST,11248
1339,0.01,True,FEMNIST,10712
1269,0.01,True,FEMNIST,10152
1362,0.01,True,FEMNIST,10896
1389,0.01,True,FEMNIST,11112
1241,0.01,True,FEMNIST,9928
1322,0.01,True,FEMNIST,10576
1390,0.01,True,FEMNIST,11120
1410,0.01,True,FEMNIST,11280
1358,0.01,True,FEMNIST,10864
1278,0.01,True,FEMNIST,10224
1373,0.01,True,FEMNIST,10984
1292,0.01,True,FEMNIST,10336
1389,0.01,True,FEMNIST,11112
1362,0.01,True,FEMNIST,10896
1405,0.01,True,FEMNIST,11240
1410,0.01,True,FEMNIST,11280
1355,0.01,True,FEMNIST,10840
1282,0.01,True,FEMNIST,10256
1398,0.01,True,FEMNIST,11184
1414,0.01,True,FEMNIST,11312
1415,0.01,True,FEMNIST,11320
1382,0.01,True,FEMNIST,11056
1384,0.01,True,FEMNIST,11072
1408,0.01,True,FEMNIST,11264
1381,0.01,True,FEMNIST,11048
1404,0.01,True,FEMNIST,11232
1378,0.01,True,FEMNIST,11024
1336,0.01,True,FEMNIST,10688
1445,0.01,True,FEMNIST,11560
1408,0.01,True,FEMNIST,11264
1413,0.01,True,FEMNIST,11304
1408,0.01,True,FEMNIST,11264
1380,0.01,True,FEMNIST,11040
1374,0.01,True,FEMNIST,10992
1299,0.01,True,FEMNIST,10392
1312,0.01,True,FEMNIST,10496
1392,0.01,True,FEMNIST,11136
1458,0.01,True,FEMNIST,11664
1364,0.01,True,FEMNIST,10912
1368,0.01,True,FEMNIST,10944
1858,0.0085,True,FEMNIST,14864
1883,0.0085,True,FEMNIST,15064
2633,0.0085,True,FEMNIST,21064
1641,0.0085,True,FEMNIST,13128
1726,0.0085,True,FEMNIST,13808
1566,0.0085,True,FEMNIST,12528
1571,0.0085,True,FEMNIST,12568
1827,0.0085,True,FEMNIST,14616
1822,0.0085,True,FEMNIST,14576
1800,0.0085,True,FEMNIST,14400
2642,0.0085,True,FEMNIST,21136
2594,0.0085,True,FEMNIST,20752
2354,0.0085,True,FEMNIST,18832
2562,0.0085,True,FEMNIST,20496
2323,0.0085,True,FEMNIST,18584
2397,0.0085,True,FEMNIST,19176
2252,0.0085,True,FEMNIST,18016
2349,0.0085,True,FEMNIST,18792
2380,0.0085,True,FEMNIST,19040
2590,0.0085,True,FEMNIST,20720
2458,0.0085,True,FEMNIST,19664
2265,0.0085,True,FEMNIST,18120
2529,0.0085,True,FEMNIST,20232
2226,0.0085,True,FEMNIST,17808
2428,0.0085,True,FEMNIST,19424
2438,0.0085,True,FEMNIST,19504
2403,0.0085,True,FEMNIST,19224
2397,0.0085,True,FEMNIST,19176
2392,0.0085,True,FEMNIST,19136
2351,0.0085,True,FEMNIST,18808
2442,0.0085,True,FEMNIST,19536
2399,0.0085,True,FEMNIST,19192
2563,0.0085,True,FEMNIST,20504
2428,0.0085,True,FEMNIST,19424
2424,0.0085,True,FEMNIST,19392
2490,0.0085,True,FEMNIST,19920
2379,0.0085,True,FEMNIST,19032
2482,0.0085,True,FEMNIST,19856
2404,0.0085,True,FEMNIST,19232
2397,0.0085,True,FEMNIST,19176
2382,0.0085,True,FEMNIST,19056
2456,0.0085,True,FEMNIST,19648
2382,0.0085,True,FEMNIST,19056
2440,0.0085,True,FEMNIST,19520
2389,0.0085,True,FEMNIST,19112
2466,0.0085,True,FEMNIST,19728
2336,0.0085,True,FEMNIST,18688
2433,0.0085,True,FEMNIST,19464
2313,0.0085,True,FEMNIST,18504
2402,0.0085,True,FEMNIST,19216
2350,0.0085,True,FEMNIST,18800
2385,0.0085,True,FEMNIST,19080
2314,0.0085,True,FEMNIST,18512
2340,0.0085,True,FEMNIST,18720
2362,0.0085,True,FEMNIST,18896
2546,0.0085,True,FEMNIST,20368
2525,0.0085,True,FEMNIST,20200
2392,0.0085,True,FEMNIST,19136
2280,0.0085,True,FEMNIST,18240
2321,0.0085,True,FEMNIST,18568
2340,0.0085,True,FEMNIST,18720
2615,0.0085,True,FEMNIST,20920
2595,0.0085,True,FEMNIST,20760
2351,0.0085,True,FEMNIST,18808
2382,0.0085,True,FEMNIST,19056
2451,0.0085,True,FEMNIST,19608
2425,0.0085,True,FEMNIST,19400
2382,0.0085,True,FEMNIST,19056
2316,0.0085,True,FEMNIST,18528
